date,orders
2022-01-01,457
2022-01-02,620
2022-01-03,608
2022-01-04,517
2022-01-05,505
2022-01-06,465
2022-01-07,507
2022-01-08,480
2022-01-09,619
2022-01-10,582
2022-01-11,612
2022-01-12,492
2022-01-13,368
2022-01-14,479
2022-01-15,472
2022-01-16,600
2022-01-17,625
2022-01-18,571
2022-01-19,461
2022-01-20,436
2022-01-21,465
2022-01-22,555
2022-01-23,682
2022-01-24,677
2022-01-25,589
2022-01-26,593
2022-01-27,446
2022-01-28,547
2022-01-29,578
2022-01-30,660
2022-01-31,694
2022-02-01,601
2022-02-02,593
2022-02-03,520
2022-02-04,635
2022-02-05,592
2022-02-06,720
2022-02-07,713
2022-02-08,600
2022-02-09,634
2022-02-10,497
2022-02-11,468
2022-02-12,656
2022-02-13,730
2022-02-14,707
2022-02-15,654
2022-02-16,661
2022-02-17,585
2022-02-18,548
2022-02-19,668
2022-02-20,654
2022-02-21,699
2022-02-22,638
2022-02-23,525
2022-02-24,525
2022-02-25,638
2022-02-26,610
2022-02-27,696
2022-02-28,689
2022-03-01,729
2022-03-02,627
2022-03-03,605
2022-03-04,599
2022-03-05,620
2022-03-06,692
2022-03-07,782
2022-03-08,705
2022-03-09,670
2022-03-10,471
2022-03-11,659
2022-03-12,659
2022-03-13,829
2022-03-14,739
2022-03-15,718
2022-03-16,676
2022-03-17,572
2022-03-18,659
2022-03-19,662
2022-03-20,803
2022-03-21,800
2022-03-22,746
2022-03-23,628
2022-03-24,607
2022-03-25,643
2022-03-26,614
2022-03-27,736
2022-03-28,812
2022-03-29,681
2022-03-30,714
2022-03-31,596
2022-04-01,650
2022-04-02,654
2022-04-03,782
2022-04-04,797
2022-04-05,782
2022-04-06,721
2022-04-07,674
2022-04-08,648
2022-04-09,654
2022-04-10,818
2022-04-11,729
2022-04-12,720
2022-04-13,698
2022-04-14,643
2022-04-15,705
2022-04-16,703
2022-04-17,698
2022-04-18,770
2022-04-19,745
2022-04-20,654
2022-04-21,681
2022-04-22,630
2022-04-23,644
2022-04-24,783
2022-04-25,733
2022-04-26,803
2022-04-27,676
2022-04-28,565
2022-04-29,680
2022-04-30,793
2022-05-01,680
2022-05-02,811
2022-05-03,750
2022-05-04,668
2022-05-05,630
2022-05-06,651
2022-05-07,665
2022-05-08,811
2022-05-09,715
2022-05-10,803
2022-05-11,715
2022-05-12,563
2022-05-13,624
2022-05-14,743
2022-05-15,728
2022-05-16,755
2022-05-17,701
2022-05-18,693
2022-05-19,577
2022-05-20,615
2022-05-21,699
2022-05-22,730
2022-05-23,717
2022-05-24,654
2022-05-25,576
2022-05-26,545
2022-05-27,537
2022-05-28,638
2022-05-29,740
2022-05-30,744
2022-05-31,663
2022-06-01,585
2022-06-02,541
2022-06-03,539
2022-06-04,606
2022-06-05,744
2022-06-06,673
2022-06-07,685
2022-06-08,589
2022-06-09,665
2022-06-10,510
2022-06-11,650
2022-06-12,690
2022-06-13,686
2022-06-14,684
2022-06-15,606
2022-06-16,512
2022-06-17,586
2022-06-18,645
2022-06-19,742
2022-06-20,679
2022-06-21,717
2022-06-22,579
2022-06-23,462
2022-06-24,576
2022-06-25,612
2022-06-26,640
2022-06-27,726
2022-06-28,625
2022-06-29,613
2022-06-30,524
2022-07-01,571
2022-07-02,628
2022-07-03,680
2022-07-04,634
2022-07-05,666
2022-07-06,559
2022-07-07,593
2022-07-08,545
2022-07-09,617
2022-07-10,617
2022-07-11,645
2022-07-12,619
2022-07-13,497
2022-07-14,452
2022-07-15,508
2022-07-16,570
2022-07-17,642
2022-07-18,692
2022-07-19,586
2022-07-20,558
2022-07-21,479
2022-07-22,491
2022-07-23,570
2022-07-24,537
2022-07-25,636
2022-07-26,563
2022-07-27,480
2022-07-28,397
2022-07-29,468
2022-07-30,472
2022-07-31,642
2022-08-01,612
2022-08-02,509
2022-08-03,478
2022-08-04,490
2022-08-05,450
2022-08-06,524
2022-08-07,581
2022-08-08,605
2022-08-09,497
2022-08-10,492
2022-08-11,427
2022-08-12,581
2022-08-13,516
2022-08-14,567
2022-08-15,639
2022-08-16,549
2022-08-17,495
2022-08-18,405
2022-08-19,516
2022-08-20,490
2022-08-21,592
2022-08-22,636
2022-08-23,535
2022-08-24,476
2022-08-25,455
2022-08-26,474
2022-08-27,464
2022-08-28,577
2022-08-29,546
2022-08-30,510
2022-08-31,444
2022-09-01,474
2022-09-02,504
2022-09-03,606
2022-09-04,562
2022-09-05,545
2022-09-06,496
2022-09-07,529
2022-09-08,360
2022-09-09,424
2022-09-10,476
2022-09-11,631
2022-09-12,535
2022-09-13,576
2022-09-14,515
2022-09-15,412
2022-09-16,453
2022-09-17,435
2022-09-18,556
2022-09-19,566
2022-09-20,428
2022-09-21,479
2022-09-22,433
2022-09-23,367
2022-09-24,441
2022-09-25,530
2022-09-26,554
2022-09-27,520
2022-09-28,425
2022-09-29,380
2022-09-30,449
2022-10-01,481
2022-10-02,558
2022-10-03,570
2022-10-04,554
2022-10-05,461
2022-10-06,459
2022-10-07,445
2022-10-08,540
2022-10-09,618
2022-10-10,526
2022-10-11,579
2022-10-12,545
2022-10-13,392
2022-10-14,446
2022-10-15,497
2022-10-16,592
2022-10-17,612
2022-10-18,523
2022-10-19,534
2022-10-20,405
2022-10-21,451
2022-10-22,561
2022-10-23,662
2022-10-24,581
2022-10-25,591
2022-10-26,500
2022-10-27,386
2022-10-28,429
2022-10-29,483
2022-10-30,575
2022-10-31,596
2022-11-01,572
2022-11-02,555
2022-11-03,479
2022-11-04,586
2022-11-05,534
2022-11-06,640
2022-11-07,643
2022-11-08,645
2022-11-09,502
2022-11-10,510
2022-11-11,559
2022-11-12,530
2022-11-13,621
2022-11-14,662
2022-11-15,583
2022-11-16,498
2022-11-17,566
2022-11-18,501
2022-11-19,645
2022-11-20,620
2022-11-21,650
2022-11-22,649
2022-11-23,542
2022-11-24,474
2022-11-25,499
2022-11-26,604
2022-11-27,632
2022-11-28,680
2022-11-29,546
2022-11-30,547
2022-12-01,522
2022-12-02,526
2022-12-03,573
2022-12-04,642
2022-12-05,699
2022-12-06,715
2022-12-07,533
2022-12-08,538
2022-12-09,606
2022-12-10,646
2022-12-11,694
2022-12-12,698
2022-12-13,677
2022-12-14,606
2022-12-15,482
2022-12-16,559
2022-12-17,575
2022-12-18,771
2022-12-19,770
2022-12-20,666
2022-12-21,663
2022-12-22,689
2022-12-23,584
2022-12-24,727
2022-12-25,755
2022-12-26,750
2022-12-27,675
2022-12-28,631
2022-12-29,597
2022-12-30,539
2022-12-31,718
2023-01-01,750
2023-01-02,799
2023-01-03,724
2023-01-04,795
2023-01-05,568
2023-01-06,616
2023-01-07,747
2023-01-08,879
2023-01-09,763
2023-01-10,836
2023-01-11,660
2023-01-12,708
2023-01-13,678
2023-01-14,830
2023-01-15,877
2023-01-16,799
2023-01-17,902
2023-01-18,673
2023-01-19,665
2023-01-20,768
2023-01-21,732
2023-01-22,801
2023-01-23,851
2023-01-24,823
2023-01-25,754
2023-01-26,668
2023-01-27,724
2023-01-28,808
2023-01-29,908
2023-01-30,879
2023-01-31,775
2023-02-01,760
2023-02-02,693
2023-02-03,789
2023-02-04,734
2023-02-05,889
2023-02-06,842
2023-02-07,895
2023-02-08,808
2023-02-09,745
2023-02-10,775
2023-02-11,806
2023-02-12,912
2023-02-13,901
2023-02-14,891
2023-02-15,797
2023-02-16,655
2023-02-17,751
2023-02-18,897
2023-02-19,960
2023-02-20,923
2023-02-21,873
2023-02-22,797
2023-02-23,795
2023-02-24,810
2023-02-25,813
2023-02-26,943
2023-02-27,983
2023-02-28,854
2023-03-01,818
2023-03-02,802
2023-03-03,830
2023-03-04,849
2023-03-05,909
2023-03-06,928
2023-03-07,921
2023-03-08,855
2023-03-09,795
2023-03-10,758
2023-03-11,833
2023-03-12,966
2023-03-13,909
2023-03-14,925
2023-03-15,834
2023-03-16,782
2023-03-17,824
2023-03-18,954
2023-03-19,962
2023-03-20,955
2023-03-21,866
2023-03-22,877
2023-03-23,860
2023-03-24,855
2023-03-25,941
2023-03-26,976
2023-03-27,922
2023-03-28,929
2023-03-29,884
2023-03-30,849
2023-03-31,816
2023-04-01,897
2023-04-02,977
2023-04-03,1029
2023-04-04,976
2023-04-05,892
2023-04-06,840
2023-04-07,799
2023-04-08,858
2023-04-09,962
2023-04-10,1023
2023-04-11,954
2023-04-12,891
2023-04-13,765
2023-04-14,782
2023-04-15,948
2023-04-16,965
2023-04-17,929
2023-04-18,973
2023-04-19,879
2023-04-20,943
2023-04-21,890
2023-04-22,916
2023-04-23,958
2023-04-24,989
2023-04-25,932
2023-04-26,808
2023-04-27,859
2023-04-28,848
2023-04-29,789
2023-04-30,936
2023-05-01,943
2023-05-02,971
2023-05-03,860
2023-05-04,877
2023-05-05,769
2023-05-06,851
2023-05-07,998
2023-05-08,944
2023-05-09,883
2023-05-10,834
2023-05-11,781
2023-05-12,847
2023-05-13,932
2023-05-14,885
2023-05-15,951
2023-05-16,919
2023-05-17,851
2023-05-18,836
2023-05-19,822
2023-05-20,855
2023-05-21,895
2023-05-22,881
2023-05-23,894
2023-05-24,839
2023-05-25,830
2023-05-26,792
2023-05-27,961
2023-05-28,926
2023-05-29,924
2023-05-30,913
2023-05-31,788
2023-06-01,791
2023-06-02,713
2023-06-03,884
2023-06-04,920
2023-06-05,940
2023-06-06,892
2023-06-07,764
2023-06-08,734
2023-06-09,846
2023-06-10,864
2023-06-11,881
2023-06-12,935
2023-06-13,890
2023-06-14,880
2023-06-15,801
2023-06-16,787
2023-06-17,813
2023-06-18,963
2023-06-19,901
2023-06-20,825
2023-06-21,740
2023-06-22,709
2023-06-23,742
2023-06-24,848
2023-06-25,914
2023-06-26,937
2023-06-27,852
2023-06-28,808
2023-06-29,819
2023-06-30,779
2023-07-01,867
2023-07-02,803
2023-07-03,847
2023-07-04,802
2023-07-05,653
2023-07-06,718
2023-07-07,784
2023-07-08,767
2023-07-09,857
2023-07-10,829
2023-07-11,798
2023-07-12,757
2023-07-13,653
2023-07-14,761
2023-07-15,698
2023-07-16,848
2023-07-17,829
2023-07-18,863
2023-07-19,763
2023-07-20,604
2023-07-21,604
2023-07-22,721
2023-07-23,802
2023-07-24,828
2023-07-25,792
2023-07-26,746
2023-07-27,619
2023-07-28,616
2023-07-29,759
2023-07-30,795
2023-07-31,819
2023-08-01,752
2023-08-02,700
2023-08-03,721
2023-08-04,611
2023-08-05,688
2023-08-06,823
2023-08-07,874
2023-08-08,758
2023-08-09,645
2023-08-10,571
2023-08-11,675
2023-08-12,676
2023-08-13,874
2023-08-14,895
2023-08-15,765
2023-08-16,705
2023-08-17,636
2023-08-18,701
2023-08-19,716
2023-08-20,780
2023-08-21,847
2023-08-22,773
2023-08-23,763
2023-08-24,567
2023-08-25,625
2023-08-26,673
2023-08-27,804
2023-08-28,765
2023-08-29,765
2023-08-30,624
2023-08-31,623
2023-09-01,733
2023-09-02,768
2023-09-03,690
2023-09-04,794
2023-09-05,769
2023-09-06,646
2023-09-07,578
2023-09-08,663
2023-09-09,703
2023-09-10,783
2023-09-11,770
2023-09-12,826
2023-09-13,626
2023-09-14,599
2023-09-15,655
2023-09-16,726
2023-09-17,704
2023-09-18,827
2023-09-19,673
2023-09-20,662
2023-09-21,606
2023-09-22,606
2023-09-23,742
2023-09-24,666
2023-09-25,746
2023-09-26,696
2023-09-27,698
2023-09-28,682
2023-09-29,667
2023-09-30,755
2023-10-01,673
2023-10-02,785
2023-10-03,680
2023-10-04,652
2023-10-05,634
2023-10-06,644
2023-10-07,759
2023-10-08,688
2023-10-09,750
2023-10-10,682
2023-10-11,607
2023-10-12,670
2023-10-13,654
2023-10-14,772
2023-10-15,821
2023-10-16,793
2023-10-17,709
2023-10-18,720
2023-10-19,610
2023-10-20,607
2023-10-21,673
2023-10-22,788
2023-10-23,850
2023-10-24,760
2023-10-25,739
2023-10-26,652
2023-10-27,648
2023-10-28,838
2023-10-29,867
2023-10-30,819
2023-10-31,736
2023-11-01,637
2023-11-02,676
2023-11-03,667
2023-11-04,761
2023-11-05,820
2023-11-06,842
2023-11-07,829
2023-11-08,728
2023-11-09,645
2023-11-10,661
2023-11-11,780
2023-11-12,779
2023-11-13,868
2023-11-14,827
2023-11-15,729
2023-11-16,659
2023-11-17,637
2023-11-18,728
2023-11-19,773
2023-11-20,857
2023-11-21,797
2023-11-22,711
2023-11-23,742
2023-11-24,731
2023-11-25,792
2023-11-26,878
2023-11-27,915
2023-11-28,769
2023-11-29,795
2023-11-30,654
2023-12-01,712
2023-12-02,850
2023-12-03,902
2023-12-04,920
2023-12-05,860
2023-12-06,843
2023-12-07,684
2023-12-08,752
2023-12-09,831
2023-12-10,976
2023-12-11,954
2023-12-12,915
2023-12-13,776
2023-12-14,856
2023-12-15,804
2023-12-16,810
2023-12-17,1010
2023-12-18,877
2023-12-19,860
2023-12-20,819
2023-12-21,749
2023-12-22,827
2023-12-23,883
2023-12-24,942
2023-12-25,1032
2023-12-26,851
2023-12-27,904
2023-12-28,777
2023-12-29,887
2023-12-30,970
2023-12-31,1051
