date,passengers
2022-01-01,296
2022-01-02,278
2022-01-03,310
2022-01-04,304
2022-01-05,271
2022-01-06,323
2022-01-07,291
2022-01-08,340
2022-01-09,332
2022-01-10,309
2022-01-11,316
2022-01-12,312
2022-01-13,310
2022-01-14,382
2022-01-15,303
2022-01-16,325
2022-01-17,345
2022-01-18,319
2022-01-19,316
2022-01-20,303
2022-01-21,355
2022-01-22,347
2022-01-23,343
2022-01-24,305
2022-01-25,347
2022-01-26,344
2022-01-27,333
2022-01-28,314
2022-01-29,342
2022-01-30,327
2022-01-31,347
2022-02-01,348
2022-02-02,342
2022-02-03,367
2022-02-04,350
2022-02-05,363
2022-02-06,362
2022-02-07,375
2022-02-08,337
2022-02-09,351
2022-02-10,377
2022-02-11,363
2022-02-12,384
2022-02-13,378
2022-02-14,355
2022-02-15,383
2022-02-16,361
2022-02-17,387
2022-02-18,406
2022-02-19,392
2022-02-20,417
2022-02-21,341
2022-02-22,362
2022-02-23,369
2022-02-24,367
2022-02-25,384
2022-02-26,370
2022-02-27,400
2022-02-28,399
2022-03-01,388
2022-03-02,361
2022-03-03,393
2022-03-04,396
2022-03-05,391
2022-03-06,385
2022-03-07,413
2022-03-08,375
2022-03-09,380
2022-03-10,401
2022-03-11,399
2022-03-12,406
2022-03-13,384
2022-03-14,364
2022-03-15,366
2022-03-16,383
2022-03-17,408
2022-03-18,409
2022-03-19,357
2022-03-20,405
2022-03-21,393
2022-03-22,374
2022-03-23,439
2022-03-24,401
2022-03-25,413
2022-03-26,448
2022-03-27,385
2022-03-28,389
2022-03-29,427
2022-03-30,372
2022-03-31,400
2022-04-01,399
2022-04-02,418
2022-04-03,407
2022-04-04,381
2022-04-05,419
2022-04-06,416
2022-04-07,378
2022-04-08,386
2022-04-09,389
2022-04-10,377
2022-04-11,421
2022-04-12,393
2022-04-13,394
2022-04-14,379
2022-04-15,392
2022-04-16,429
2022-04-17,414
2022-04-18,367
2022-04-19,379
2022-04-20,411
2022-04-21,389
2022-04-22,387
2022-04-23,381
2022-04-24,371
2022-04-25,399
2022-04-26,389
2022-04-27,419
2022-04-28,395
2022-04-29,377
2022-04-30,409
2022-05-01,422
2022-05-02,380
2022-05-03,360
2022-05-04,384
2022-05-05,366
2022-05-06,425
2022-05-07,364
2022-05-08,385
2022-05-09,420
2022-05-10,408
2022-05-11,379
2022-05-12,373
2022-05-13,385
2022-05-14,383
2022-05-15,417
2022-05-16,383
2022-05-17,358
2022-05-18,404
2022-05-19,405
2022-05-20,378
2022-05-21,398
2022-05-22,382
2022-05-23,356
2022-05-24,378
2022-05-25,356
2022-05-26,365
2022-05-27,358
2022-05-28,383
2022-05-29,379
2022-05-30,348
2022-05-31,355
2022-06-01,372
2022-06-02,381
2022-06-03,372
2022-06-04,325
2022-06-05,394
2022-06-06,403
2022-06-07,398
2022-06-08,376
2022-06-09,378
2022-06-10,350
2022-06-11,366
2022-06-12,338
2022-06-13,362
2022-06-14,330
2022-06-15,369
2022-06-16,349
2022-06-17,371
2022-06-18,358
2022-06-19,344
2022-06-20,369
2022-06-21,327
2022-06-22,344
2022-06-23,338
2022-06-24,362
2022-06-25,345
2022-06-26,350
2022-06-27,354
2022-06-28,296
2022-06-29,323
2022-06-30,343
2022-07-01,360
2022-07-02,350
2022-07-03,363
2022-07-04,331
2022-07-05,337
2022-07-06,323
2022-07-07,324
2022-07-08,314
2022-07-09,319
2022-07-10,325
2022-07-11,315
2022-07-12,327
2022-07-13,289
2022-07-14,333
2022-07-15,327
2022-07-16,331
2022-07-17,311
2022-07-18,309
2022-07-19,338
2022-07-20,314
2022-07-21,356
2022-07-22,287
2022-07-23,309
2022-07-24,290
2022-07-25,296
2022-07-26,295
2022-07-27,300
2022-07-28,324
2022-07-29,285
2022-07-30,319
2022-07-31,277
2022-08-01,297
2022-08-02,330
2022-08-03,312
2022-08-04,307
2022-08-05,313
2022-08-06,311
2022-08-07,311
2022-08-08,326
2022-08-09,276
2022-08-10,295
2022-08-11,308
2022-08-12,309
2022-08-13,305
2022-08-14,319
2022-08-15,282
2022-08-16,264
2022-08-17,316
2022-08-18,290
2022-08-19,278
2022-08-20,289
2022-08-21,279
2022-08-22,307
2022-08-23,304
2022-08-24,292
2022-08-25,296
2022-08-26,285
2022-08-27,304
2022-08-28,236
2022-08-29,259
2022-08-30,281
2022-08-31,273
2022-09-01,262
2022-09-02,293
2022-09-03,260
2022-09-04,284
2022-09-05,282
2022-09-06,280
2022-09-07,262
2022-09-08,274
2022-09-09,302
2022-09-10,288
2022-09-11,296
2022-09-12,275
2022-09-13,242
2022-09-14,267
2022-09-15,273
2022-09-16,302
2022-09-17,299
2022-09-18,284
2022-09-19,258
2022-09-20,278
2022-09-21,270
2022-09-22,271
2022-09-23,251
2022-09-24,285
2022-09-25,275
2022-09-26,292
2022-09-27,246
2022-09-28,253
2022-09-29,349
2022-09-30,258
2022-10-01,282
2022-10-02,285
2022-10-03,257
2022-10-04,311
2022-10-05,276
2022-10-06,280
2022-10-07,314
2022-10-08,262
2022-10-09,269
2022-10-10,272
2022-10-11,252
2022-10-12,285
2022-10-13,290
2022-10-14,284
2022-10-15,294
2022-10-16,299
2022-10-17,289
2022-10-18,278
2022-10-19,308
2022-10-20,270
2022-10-21,312
2022-10-22,281
2022-10-23,301
2022-10-24,323
2022-10-25,242
2022-10-26,284
2022-10-27,281
2022-10-28,324
2022-10-29,282
2022-10-30,346
2022-10-31,262
2022-11-01,300
2022-11-02,286
2022-11-03,305
2022-11-04,285
2022-11-05,288
2022-11-06,261
2022-11-07,301
2022-11-08,270
2022-11-09,275
2022-11-10,304
2022-11-11,301
2022-11-12,325
2022-11-13,278
2022-11-14,315
2022-11-15,314
2022-11-16,303
2022-11-17,294
2022-11-18,309
2022-11-19,330
2022-11-20,306
2022-11-21,332
2022-11-22,310
2022-11-23,352
2022-11-24,319
2022-11-25,316
2022-11-26,289
2022-11-27,294
2022-11-28,331
2022-11-29,321
2022-11-30,332
2022-12-01,314
2022-12-02,326
2022-12-03,318
2022-12-04,338
2022-12-05,329
2022-12-06,372
2022-12-07,323
2022-12-08,360
2022-12-09,318
2022-12-10,332
2022-12-11,326
2022-12-12,369
2022-12-13,354
2022-12-14,350
2022-12-15,353
2022-12-16,328
2022-12-17,380
2022-12-18,381
2022-12-19,354
2022-12-20,356
2022-12-21,371
2022-12-22,356
2022-12-23,357
2022-12-24,353
2022-12-25,357
2022-12-26,356
2022-12-27,382
2022-12-28,362
2022-12-29,362
2022-12-30,359
2022-12-31,343
2023-01-01,406
2023-01-02,387
2023-01-03,395
2023-01-04,369
2023-01-05,410
2023-01-06,386
2023-01-07,414
2023-01-08,386
2023-01-09,387
2023-01-10,379
2023-01-11,392
2023-01-12,397
2023-01-13,424
2023-01-14,426
2023-01-15,399
2023-01-16,423
2023-01-17,346
2023-01-18,392
2023-01-19,408
2023-01-20,422
2023-01-21,415
2023-01-22,406
2023-01-23,400
2023-01-24,395
2023-01-25,450
2023-01-26,436
2023-01-27,441
2023-01-28,417
2023-01-29,407
2023-01-30,430
2023-01-31,420
2023-02-01,420
2023-02-02,423
2023-02-03,412
2023-02-04,409
2023-02-05,423
2023-02-06,401
2023-02-07,442
2023-02-08,448
2023-02-09,417
2023-02-10,398
2023-02-11,443
2023-02-12,441
2023-02-13,438
2023-02-14,412
2023-02-15,402
2023-02-16,476
2023-02-17,438
2023-02-18,454
2023-02-19,443
2023-02-20,454
2023-02-21,421
2023-02-22,439
2023-02-23,422
2023-02-24,428
2023-02-25,437
2023-02-26,416
2023-02-27,444
2023-02-28,440
2023-03-01,431
2023-03-02,453
2023-03-03,457
2023-03-04,441
2023-03-05,499
2023-03-06,474
2023-03-07,483
2023-03-08,455
2023-03-09,480
2023-03-10,478
2023-03-11,443
2023-03-12,450
2023-03-13,523
2023-03-14,457
2023-03-15,476
2023-03-16,462
2023-03-17,484
2023-03-18,448
2023-03-19,448
2023-03-20,492
2023-03-21,473
2023-03-22,420
2023-03-23,471
2023-03-24,467
2023-03-25,485
2023-03-26,478
2023-03-27,479
2023-03-28,474
2023-03-29,478
2023-03-30,450
2023-03-31,457
2023-04-01,456
2023-04-02,447
2023-04-03,490
2023-04-04,496
2023-04-05,487
2023-04-06,462
2023-04-07,464
2023-04-08,466
2023-04-09,497
2023-04-10,485
2023-04-11,509
2023-04-12,455
2023-04-13,470
2023-04-14,449
2023-04-15,446
2023-04-16,471
2023-04-17,468
2023-04-18,464
2023-04-19,443
2023-04-20,478
2023-04-21,468
2023-04-22,492
2023-04-23,484
2023-04-24,446
2023-04-25,480
2023-04-26,460
2023-04-27,502
2023-04-28,471
2023-04-29,461
2023-04-30,462
2023-05-01,440
2023-05-02,495
2023-05-03,512
2023-05-04,434
2023-05-05,463
2023-05-06,465
2023-05-07,455
2023-05-08,491
2023-05-09,491
2023-05-10,460
2023-05-11,506
2023-05-12,465
2023-05-13,458
2023-05-14,468
2023-05-15,447
2023-05-16,490
2023-05-17,473
2023-05-18,452
2023-05-19,455
2023-05-20,440
2023-05-21,462
2023-05-22,431
2023-05-23,456
2023-05-24,444
2023-05-25,465
2023-05-26,474
2023-05-27,468
2023-05-28,449
2023-05-29,436
2023-05-30,443
2023-05-31,448
2023-06-01,457
2023-06-02,435
2023-06-03,426
2023-06-04,448
2023-06-05,470
2023-06-06,480
2023-06-07,457
2023-06-08,420
2023-06-09,467
2023-06-10,421
2023-06-11,422
2023-06-12,444
2023-06-13,407
2023-06-14,450
2023-06-15,432
2023-06-16,440
2023-06-17,414
2023-06-18,446
2023-06-19,438
2023-06-20,420
2023-06-21,445
2023-06-22,372
2023-06-23,431
2023-06-24,420
2023-06-25,405
2023-06-26,424
2023-06-27,429
2023-06-28,403
2023-06-29,414
2023-06-30,415
2023-07-01,422
2023-07-02,438
2023-07-03,403
2023-07-04,437
2023-07-05,383
2023-07-06,414
2023-07-07,373
2023-07-08,408
2023-07-09,419
2023-07-10,444
2023-07-11,404
2023-07-12,386
2023-07-13,421
2023-07-14,400
2023-07-15,400
2023-07-16,415
2023-07-17,418
2023-07-18,360
2023-07-19,395
2023-07-20,392
2023-07-21,370
2023-07-22,358
2023-07-23,388
2023-07-24,379
2023-07-25,372
2023-07-26,383
2023-07-27,378
2023-07-28,384
2023-07-29,414
2023-07-30,381
2023-07-31,418
2023-08-01,405
2023-08-02,398
2023-08-03,363
2023-08-04,371
2023-08-05,357
2023-08-06,383
2023-08-07,373
2023-08-08,382
2023-08-09,378
2023-08-10,375
2023-08-11,363
2023-08-12,350
2023-08-13,360
2023-08-14,382
2023-08-15,364
2023-08-16,365
2023-08-17,383
2023-08-18,374
2023-08-19,334
2023-08-20,362
2023-08-21,345
2023-08-22,361
2023-08-23,369
2023-08-24,371
2023-08-25,393
2023-08-26,349
2023-08-27,353
2023-08-28,369
2023-08-29,377
2023-08-30,336
2023-08-31,370
2023-09-01,369
2023-09-02,352
2023-09-03,349
2023-09-04,369
2023-09-05,363
2023-09-06,362
2023-09-07,339
2023-09-08,319
2023-09-09,351
2023-09-10,347
2023-09-11,361
2023-09-12,336
2023-09-13,364
2023-09-14,360
2023-09-15,336
2023-09-16,370
2023-09-17,344
2023-09-18,337
2023-09-19,356
2023-09-20,350
2023-09-21,332
2023-09-22,363
2023-09-23,350
2023-09-24,335
2023-09-25,315
2023-09-26,359
2023-09-27,353
2023-09-28,353
2023-09-29,378
2023-09-30,301
2023-10-01,376
2023-10-02,379
2023-10-03,332
2023-10-04,372
2023-10-05,336
2023-10-06,331
2023-10-07,351
2023-10-08,390
2023-10-09,361
2023-10-10,355
2023-10-11,372
2023-10-12,342
2023-10-13,385
2023-10-14,387
2023-10-15,365
2023-10-16,341
2023-10-17,379
2023-10-18,364
2023-10-19,371
2023-10-20,382
2023-10-21,368
2023-10-22,342
2023-10-23,391
2023-10-24,367
2023-10-25,369
2023-10-26,375
2023-10-27,370
2023-10-28,380
2023-10-29,369
2023-10-30,363
2023-10-31,356
2023-11-01,358
2023-11-02,363
2023-11-03,390
2023-11-04,364
2023-11-05,370
2023-11-06,371
2023-11-07,384
2023-11-08,388
2023-11-09,415
2023-11-10,349
2023-11-11,373
2023-11-12,391
2023-11-13,346
2023-11-14,416
2023-11-15,380
2023-11-16,368
2023-11-17,404
2023-11-18,342
2023-11-19,391
2023-11-20,369
2023-11-21,389
2023-11-22,398
2023-11-23,408
2023-11-24,402
2023-11-25,437
2023-11-26,397
2023-11-27,391
2023-11-28,423
2023-11-29,399
2023-11-30,410
2023-12-01,324
2023-12-02,413
2023-12-03,404
2023-12-04,398
2023-12-05,395
2023-12-06,428
2023-12-07,371
2023-12-08,476
2023-12-09,438
2023-12-10,423
2023-12-11,455
2023-12-12,424
2023-12-13,402
2023-12-14,442
2023-12-15,391
2023-12-16,437
2023-12-17,450
2023-12-18,439
2023-12-19,401
2023-12-20,435
2023-12-21,430
2023-12-22,419
2023-12-23,390
2023-12-24,414
2023-12-25,429
2023-12-26,463
2023-12-27,497
2023-12-28,461
2023-12-29,429
2023-12-30,438
2023-12-31,470
