date,admissions
2022-01-01,179
2022-01-02,203
2022-01-03,207
2022-01-04,193
2022-01-05,179
2022-01-06,186
2022-01-07,190
2022-01-08,196
2022-01-09,188
2022-01-10,206
2022-01-11,180
2022-01-12,168
2022-01-13,182
2022-01-14,213
2022-01-15,183
2022-01-16,227
2022-01-17,198
2022-01-18,173
2022-01-19,177
2022-01-20,193
2022-01-21,171
2022-01-22,224
2022-01-23,173
2022-01-24,197
2022-01-25,208
2022-01-26,184
2022-01-27,171
2022-01-28,181
2022-01-29,190
2022-01-30,197
2022-01-31,184
2022-02-01,162
2022-02-02,183
2022-02-03,172
2022-02-04,149
2022-02-05,171
2022-02-06,159
2022-02-07,189
2022-02-08,209
2022-02-09,207
2022-02-10,170
2022-02-11,172
2022-02-12,188
2022-02-13,194
2022-02-14,171
2022-02-15,175
2022-02-16,210
2022-02-17,175
2022-02-18,169
2022-02-19,177
2022-02-20,184
2022-02-21,159
2022-02-22,171
2022-02-23,157
2022-02-24,170
2022-02-25,202
2022-02-26,184
2022-02-27,172
2022-02-28,159
2022-03-01,168
2022-03-02,188
2022-03-03,164
2022-03-04,194
2022-03-05,151
2022-03-06,167
2022-03-07,197
2022-03-08,141
2022-03-09,189
2022-03-10,143
2022-03-11,169
2022-03-12,168
2022-03-13,183
2022-03-14,123
2022-03-15,141
2022-03-16,161
2022-03-17,170
2022-03-18,156
2022-03-19,166
2022-03-20,152
2022-03-21,164
2022-03-22,157
2022-03-23,173
2022-03-24,178
2022-03-25,191
2022-03-26,160
2022-03-27,165
2022-03-28,170
2022-03-29,165
2022-03-30,169
2022-03-31,146
2022-04-01,175
2022-04-02,156
2022-04-03,156
2022-04-04,146
2022-04-05,188
2022-04-06,168
2022-04-07,188
2022-04-08,175
2022-04-09,145
2022-04-10,155
2022-04-11,183
2022-04-12,160
2022-04-13,156
2022-04-14,169
2022-04-15,170
2022-04-16,157
2022-04-17,168
2022-04-18,166
2022-04-19,135
2022-04-20,181
2022-04-21,162
2022-04-22,194
2022-04-23,158
2022-04-24,151
2022-04-25,193
2022-04-26,152
2022-04-27,167
2022-04-28,186
2022-04-29,172
2022-04-30,153
2022-05-01,181
2022-05-02,175
2022-05-03,198
2022-05-04,188
2022-05-05,225
2022-05-06,156
2022-05-07,180
2022-05-08,165
2022-05-09,199
2022-05-10,195
2022-05-11,194
2022-05-12,172
2022-05-13,173
2022-05-14,154
2022-05-15,211
2022-05-16,193
2022-05-17,182
2022-05-18,201
