date,sales
2022-01-01,993
2022-01-02,1074
2022-01-03,1100
2022-01-04,1090
2022-01-05,966
2022-01-06,848
2022-01-07,962
2022-01-08,1015
2022-01-09,1099
2022-01-10,1139
2022-01-11,1095
2022-01-12,1058
2022-01-13,983
2022-01-14,979
2022-01-15,1018
2022-01-16,1087
2022-01-17,1173
2022-01-18,1176
2022-01-19,1030
2022-01-20,972
2022-01-21,1027
2022-01-22,1010
2022-01-23,1149
2022-01-24,1212
2022-01-25,1181
2022-01-26,1042
2022-01-27,1022
2022-01-28,1039
2022-01-29,1147
2022-01-30,1134
2022-01-31,1241
2022-02-01,1086
2022-02-02,948
2022-02-03,998
2022-02-04,1005
2022-02-05,1176
2022-02-06,1247
2022-02-07,1176
2022-02-08,1228
2022-02-09,1052
2022-02-10,1047
2022-02-11,1059
2022-02-12,1161
2022-02-13,1278
2022-02-14,1291
2022-02-15,1225
2022-02-16,1157
2022-02-17,1097
2022-02-18,1064
2022-02-19,1140
2022-02-20,1234
2022-02-21,1304
2022-02-22,1215
2022-02-23,1261
2022-02-24,1051
2022-02-25,1059
2022-02-26,1233
2022-02-27,1347
2022-02-28,1323
2022-03-01,1287
2022-03-02,1233
2022-03-03,1105
2022-03-04,1060
2022-03-05,1185
2022-03-06,1339
2022-03-07,1241
2022-03-08,1263
2022-03-09,1189
2022-03-10,1108
2022-03-11,1181
2022-03-12,1254
2022-03-13,1421
2022-03-14,1357
2022-03-15,1243
2022-03-16,1160
2022-03-17,1094
2022-03-18,1204
2022-03-19,1208
2022-03-20,1312
2022-03-21,1374
2022-03-22,1247
2022-03-23,1183
2022-03-24,1053
2022-03-25,1111
2022-03-26,1216
2022-03-27,1344
2022-03-28,1403
2022-03-29,1290
2022-03-30,1218
2022-03-31,1160
2022-04-01,1225
2022-04-02,1295
2022-04-03,1342
2022-04-04,1298
2022-04-05,1340
2022-04-06,1227
2022-04-07,1216
2022-04-08,1172
2022-04-09,1350
2022-04-10,1313
2022-04-11,1430
2022-04-12,1302
2022-04-13,1183
2022-04-14,1098
2022-04-15,1166
2022-04-16,1323
2022-04-17,1371
2022-04-18,1383
2022-04-19,1176
2022-04-20,1243
2022-04-21,1180
2022-04-22,1144
2022-04-23,1217
2022-04-24,1326
2022-04-25,1431
2022-04-26,1237
2022-04-27,1181
2022-04-28,1215
2022-04-29,1143
2022-04-30,1225
2022-05-01,1325
2022-05-02,1276
2022-05-03,1294
2022-05-04,1134
2022-05-05,1184
2022-05-06,1158
2022-05-07,1348
2022-05-08,1325
2022-05-09,1397
2022-05-10,1208
2022-05-11,1179
2022-05-12,1145
2022-05-13,1234
2022-05-14,1139
2022-05-15,1349
2022-05-16,1347
2022-05-17,1338
2022-05-18,1208
2022-05-19,1119
2022-05-20,1108
